Division;Ponderacion;Glosa;Indice;Variación Mensual;Variación Acumulada;Variacion a 12 meses;Incidencia Mensual;Incidencia Acumulada;Incidencia a 12 meses
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.12202;VAJILLA;101.71;1.1;3.8;-;0.001;0.004;-
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.06212;OLLA Y SARTÉN;98.8;0.6;0.3;-;0;0;-
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.10934;UTENSILIOS DE COCINA;101.1;-1.2;0.8;-;-0.001;0.001;-
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.10442;HERRAMIENTAS ELÉCTRICAS;100.92;0.1;4;-;0;0.004;-
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.08669;HERRAMIENTAS MANUALES;105.37;1.1;4;-;0.001;0.003;-
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.05384;ACCESORIOS DE ILUMINACIÓN;106.65;0.3;7.3;-;0;0.004;-
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.05872;ARTÍCULOS DE CERRAJERÍA;103.78;1;4.2;-;0.001;0.002;-
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.05269;ACCESORIOS ELÉCTRICOS;111.03;0.4;4.5;-;0;0.002;-
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.03695;PILAS;105.42;0.3;1.9;-;0;0.001;-
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.0742;AROMATIZADOR Y DESINFECTANTE AMBIENTAL;104.87;2.9;2.2;-;0.002;0.002;-
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.50908;DETERGENTE Y SUAVIZANTE PARA ROPA;109.63;0.2;7.3;-;0.001;0.038;-
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.07218;LAVALOZA;106.69;-0.5;4.2;-;0;0.003;-
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.06054;LIMPIADOR DE PISO;111.56;2.4;10.9;-;0.001;0.007;-
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.12725;LIMPIADOR MULTIUSO;105.8;0.7;2.9;-;0.001;0.004;-
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.0374;INSECTICIDAS Y SIMILARES;99.95;0.5;-1.8;-;0;-0.001;-
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.04251;ARTÍCULOS PARA LIMPIEZA DE PISO;103.1;-1.4;-0.1;-;-0.001;0;-
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.08081;ARTÍCULOS PARA LIMPIEZA DE BAÑO Y COCINA;104.65;0.1;4.9;-;0;0.004;-
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.20352;SERVILLETAS  Y TOALLA DE PAPEL;103.83;-1.2;3.8;-;-0.002;0.008;-
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;2.645;SERVICIO DOMÉSTICO;106.95;0.3;4.3;-;0.008;0.115;-
SALUD;0.12351;MEDICAMENTOS ANTIINFECCIOSOS. ANTIVIRALES Y ANTIFUNGICOS;111.58;1.1;10.8;-;0.001;0.013;-
SALUD;0.19489;MEDICAMENTOS PARA EL APARATO CARDIOVASCULAR;114.43;4.5;12.9;-;0.009;0.025;-
SALUD;0.22127;HORMONAS Y MEDICAMENTOS PARA EL SISTEMA GENITO-URINARIO;105.22;1.4;-3.1;-;0.003;-0.007;-
SALUD;0.15446;MEDICAMENTOS ANTIINFLAMATORIOS NO CORTICOIDES. ANTIMIGRAÑOSOS Y  SISTEMA OSTEO-MUSCULAR;105.93;-0.1;5.3;-;0;0.008;-
SALUD;0.17269;MEDICAMENTOS PARA EL SISTEMA RESPIRATORIO;105.93;2.1;2;-;0.004;0.004;-
SALUD;0.12814;MEDICAMENTOS DERMATOLÓGICOS. DESINFECTANTES Y ANTISÉPTICOS;99.03;0;2.6;-;0;0.003;-
SALUD;0.33919;MEDICAMENTOS PARA EL SISTEMA NERVIOSO CENTRAL;101.29;0.6;3.1;-;0.002;0.01;-
SALUD;0.28326;MEDICAMENTOS PARA EL APARATO DIGESTIVO Y METABÓLICO;110.77;0.6;9.8;-;0.002;0.028;-
SALUD;0.06047;PREPARADOS OFTALMOLÓGICOS;116.87;0.5;30.3;-;0;0.016;-
SALUD;0.05785;MEDICAMENTOS PARA EL TRATAMIENTO DEL CÁNCER. MODIFICADORES DEL SISTEMA INMUNE Y FÁRMACOS UTILIZADOS EN LOS CUIDADOS PALIATIVOS DEL DOLOR;109.81;1.6;22.2;-;0.001;0.011;-
SALUD;0.13803;MEDICAMENTOS HOMEOPÁTICOS Y SUPLEMENTOS ALIMENTICIOS;99.63;-1.7;-5.9;-;-0.002;-0.008;-
SALUD;0.07038;PRODUCTOS PARA LA CURACIÓN DE HERIDAS;105.56;-0.6;3.2;-;0;0.002;-
SALUD;0.02387;PRESERVATIVOS;101.76;-2.5;0.3;-;-0.001;0;-
SALUD;0.50613;LENTES DE CORRECCIÓN;103.26;-0.1;5;-;-0.001;0.025;-
SALUD;0.05727;ARTÍCULOS PARA MEDIR PARÁMETROS DE SALUD;102.87;0;1.1;-;0;0.001;-
SALUD;0.94911;CONSULTA MÉDICA;105.53;0;4.5;-;0;0.043;-
SALUD;0.26675;PROCEDIMIENTO E INTERVENCIÓN QUIRÚRGICA  AMBULATORIA;107.03;0;5.7;-;0;0.015;-
SALUD;0.99702;CONSULTA Y TRATAMIENTO ODONTOLÓGICO;99.8;0;-1.1;-;0;-0.011;-
SALUD;0.37042;EXAMEN DE  IMAGENOLOGÍA Y RADIOLOGÍA;102.84;0;2.3;-;0;0.009;-
SALUD;0.24539;EXAMEN DE LABORATORIO CLÍNICO;102.55;0;2.1;-;0;0.005;-
SALUD;0.25481;SERVICIO DE OTROS PROFESIONALES DE LA SALUD;102.76;0;1.5;-;0;0.004;-
SALUD;0.8264;SERVICIO DE HOSPITALIZACIÓN;105.96;0;4.9;-;0;0.04;-
TRANSPORTE;4.05431;AUTOMÓVIL NUEVO;106.3;3.7;4.7;-;0.146;0.191;-
TRANSPORTE;0.2291;AUTOMÓVIL USADO;91.95;-0.2;-3.9;-;0;-0.008;-
TRANSPORTE;0.10059;MOTOCICLETA;102.23;-0.7;2.6;-;-0.001;0.003;-
TRANSPORTE;0.06734;BICICLETA;105.6;1;4.9;-;0.001;0.003;-
TRANSPORTE;0.07214;REPUESTOS PARA EL FUNCIONAMIENTO ELÉCTRICO DEL AUTOMÓVIL;105.96;-0.5;8.3;-;0;0.006;-
TRANSPORTE;0.13063;NEUMÁTICOS Y LLANTAS;91.58;0.6;-4.9;-;0.001;-0.006;-
TRANSPORTE;0.23917;REPUESTOS Y ACCESORIOS PARA EL FUNCIONAMIENTO MECÁNICO DEL AUTOMÓVIL;105.16;-0.2;9.9;-;-0.001;0.022;-
TRANSPORTE;3.49526;GASOLINA;111.76;1.6;11.3;-;0.06;0.392;-
TRANSPORTE;0.33069;PETRÓLEO DIÉSEL;110.52;0.8;6.4;-;0.003;0.022;-
TRANSPORTE;0.02288;LUBRICANTES Y ACEITES PARA EL AUTOMÓVIL;103.79;0;3.9;-;0;0.001;-
TRANSPORTE;0.82061;SERVICIO DE MANTENCIÓN Y REPARACIÓN DEL AUTOMÓVIL;105.53;0.7;4.4;-;0.005;0.036;-
TRANSPORTE;0.03122;SERVICIO DE LAVADO DEL AUTOMÓVIL;108.86;0.6;5.7;-;0;0.002;-
TRANSPORTE;0.21545;SERVICIO DE ESTACIONAMIENTO;108.23;0;6.1;-;0;0.013;-
TRANSPORTE;0.27651;SERVICIO DE PEAJE;104.5;0;4.1;-;0;0.011;-
TRANSPORTE;0.03039;LICENCIA DE CONDUCIR;108.8;0.2;6.4;-;0;0.002;-
TRANSPORTE;0.06476;REVISIÓN TÉCNICA DEL AUTOMÓVIL;103.37;0;0.8;-;0;0.001;-
TRANSPORTE;0.72155;SERVICIO DE TRANSPORTE EN TAXI COLECTIVO;109.84;0.3;6.1;-;0.002;0.045;-
TRANSPORTE;0.23806;SERVICIO DE TRANSPORTE EN TAXI;110.3;1.1;8.4;-;0.003;0.02;-
TRANSPORTE;0.27799;SERVICIO DE TRANSPORTE ESCOLAR;111.06;0;9.1;-;0;0.025;-
TRANSPORTE;0.61669;SERVICIO DE TRANSPORTE EN MICROBUS;111.46;0.9;8.3;-;0.006;0.052;-
TRANSPORTE;0.03145;SERVICIO DE TRANSFER;113.21;5.1;10.9;-;0.002;0.003;-
TRANSPORTE;0.59102;SERVICIO DE TRANSPORTE EN BUS INTERURBANO;114.23;10;4.3;-;0.059;0.028;-
TRANSPORTE;0.52102;SERVICIO DE TRANSPORTE AÉREO;103.04;-5.4;-4.3;-;-0.03;-0.024;-
TRANSPORTE;1.29498;SERVICIO DE TRANSPORTE MULTIMODAL;104.75;1.6;3.2;-;0.02;0.042;-
COMUNICACIONES;0.40978;EQUIPO DE TELEFONÍA MÓVIL;79.37;-1.9;-9.1;-;-0.006;-0.032;-
COMUNICACIONES;0.1487;SERVICIO DE CONEXIÓN INTERNET;100.14;0;-1.2;-;0;-0.002;-
COMUNICACIONES;0.07845;SERVICIO DE BANDA ANCHA MÓVIL;99.57;0;-0.3;-;0;0;-
COMUNICACIONES;2.39372;SERVICIO DE PACK DE TELECOMUNICACIONES;101.7;0;1.1;-;-0.001;0.027;-
COMUNICACIONES;1.69432;SERVICIO DE TELEFONÍA MÓVIL;99.01;0.5;-1.2;-;0.008;-0.021;-
COMUNICACIONES;0.27567;SERVICIO DE TELEFONÍA FIJA;74.24;0;-25.2;-;0;-0.068;-
RECREACIÓN Y CULTURA;0.59118;TELEVISOR;86.41;-2;-4.5;-;-0.01;-0.024;-
RECREACIÓN Y CULTURA;0.05292;EQUIPO DE SONIDO;92.97;-0.1;-3.5;-;0;-0.002;-
RECREACIÓN Y CULTURA;0.06258;REPRODUCTOR PORTÁTIL DE AUDIO Y VIDEO;92.88;0.1;-5.6;-;0;-0.003;-
RECREACIÓN Y CULTURA;0.17316;CÁMARA FOTOGRÁFICA;90.23;2.8;-7.7;-;0.004;-0.013;-
RECREACIÓN Y CULTURA;0.81448;COMPUTADOR;100.82;-1;-1.3;-;-0.008;-0.01;-
RECREACIÓN Y CULTURA;0.05974;IMPRESORA;99.95;0.2;2.9;-;0;0.002;-
RECREACIÓN Y CULTURA;0.06772;MÚSICA Y PELÍCULA DIGITAL;101.85;1.5;1.3;-;0.001;0.001;-
RECREACIÓN Y CULTURA;0.05451;UNIDAD DE ALMACENAMIENTO DIGITAL;95.15;-0.2;-1.7;-;0;-0.001;-
RECREACIÓN Y CULTURA;0.41018;JUGUETES;98.33;1.4;0.5;-;0.005;0.002;-
RECREACIÓN Y CULTURA;0.08555;CONSOLA DE VIDEOJUEGO;97.3;0.6;1.9;-;0.001;0.002;-
RECREACIÓN Y CULTURA;0.11613;IMPLEMENTOS DEPORTIVOS;98.5;-0.4;1.4;-;0;0.002;-
RECREACIÓN Y CULTURA;0.04637;ARTÍCULOS DE CAMPING;94.16;0;-5.2;-;0;-0.002;-
RECREACIÓN Y CULTURA;0.16551;INSTRUMENTOS MUSICALES;108.49;0;13.9;-;0;0.022;-
RECREACIÓN Y CULTURA;0.0965;FLORES;102.34;-0.1;6.6;-;0;0.006;-
RECREACIÓN Y CULTURA;0.03693;PLANTAS;108.12;1.3;5.6;-;0;0.002;-
RECREACIÓN Y CULTURA;0.02273;TIERRA Y FERTILIZANTE;101.23;-1.3;1.1;-;0;0;-
RECREACIÓN Y CULTURA;0.44273;ALIMENTOS PARA MASCOTAS;104.29;0;3.3;-;0;0.014;-
RECREACIÓN Y CULTURA;0.05453;ACCESORIOS PARA MASCOTAS;103.57;1.7;1.2;-;0.001;0.001;-
RECREACIÓN Y CULTURA;0.10615;SERVICIOS VETERINARIOS;107.34;0.9;4.7;-;0.001;0.005;-
RECREACIÓN Y CULTURA;0.08011;SERVICIOS PRESTADOS POR CENTROS RECREATIVOS;107.51;0.2;3.5;-;0;0.003;-
RECREACIÓN Y CULTURA;0.03141;ENTRADA PARA ESPECTÁCULOS DEPORTIVOS;111.37;2.1;9.5;-;0.001;0.003;-
RECREACIÓN Y CULTURA;0.05159;ENTRADA A CENTROS DE DIVERSIÓN NOCTURNOS;103.6;2.5;1.3;-;0.001;0.001;-
RECREACIÓN Y CULTURA;0.09675;SERVICIOS DE FIESTAS DE CUMPLEAÑOS;107.05;0.6;5.7;-;0.001;0.005;-
RECREACIÓN Y CULTURA;0.35184;GIMNASIOS;105.47;0.1;1.4;-;0;0.005;-
RECREACIÓN Y CULTURA;0.11711;CLASES DEPORTIVAS;106.57;0.5;4.6;-;0.001;0.005;-
RECREACIÓN Y CULTURA;0.07188;CLASES RECREATIVAS;101.13;0;0.5;-;0;0;-
RECREACIÓN Y CULTURA;0.16505;ENTRADA AL CINE;107.61;-0.3;1.5;-;0;0.003;-
RECREACIÓN Y CULTURA;0.2289;ENTRADA A ESPECTÁCULOS;94.81;-1.6;6.1;-;-0.003;0.012;-
RECREACIÓN Y CULTURA;0.02362;SERVICIO DE REVELADO FOTOGRÁFICO;106.76;0.5;5;-;0;0.001;-
RECREACIÓN Y CULTURA;0.39448;SERVICIO DE TELEVISIÓN PAGADA RESIDENCIAL;101.2;0;1.2;-;0;0.005;-
RECREACIÓN Y CULTURA;0.04685;JUEGOS DE AZAR;119.52;0;19.5;-;0;0.009;-
RECREACIÓN Y CULTURA;0.22115;TEXTO ESCOLAR;104.21;0;3.8;-;0;0.008;-
RECREACIÓN Y CULTURA;0.23462;LIBRO;101.15;0;0.8;-;0;0.002;-
RECREACIÓN Y CULTURA;0.07671;DIARIO;105.17;5.2;5.2;-;0.004;0.004;-
RECREACIÓN Y CULTURA;0.17421;CUADERNO;101.99;1.3;2.5;-;0.002;0.004;-
RECREACIÓN Y CULTURA;0.10495;MATERIALES PARA ARTES MANUALES;108.23;1.2;6.3;-;0.001;0.007;-
RECREACIÓN Y CULTURA;0.04327;ARTÍCULOS DE ESCRITORIO;104.16;0.1;3.5;-;0;0.001;-
RECREACIÓN Y CULTURA;0.78711;PAQUETE TURÍSTICO;110.93;2.2;4.6;-;0.018;0.038;-
EDUCACIÓN;0.27873;SERVICIO DE EDUCACIÓN DE JARDÍN INFANTIL;108.23;0;7.7;-;0;0.021;-
EDUCACIÓN;0.21168;SERVICIO DE EDUCACIÓN DE TRANSICIÓN;106.5;0;5.4;-;0;0.011;-
EDUCACIÓN;0.6516;SERVICIO DE EDUCACIÓN DE 1° CICLO DE LA ENSEÑANZA BÁSICA;105.66;0;4.5;-;0;0.029;-
EDUCACIÓN;0.96802;SERVICIO DE EDUCACIÓN DE 2° CICLO DE LA ENSEÑANZA BÁSICA;106;0;4.8;-;0;0.046;-
EDUCACIÓN;0.7535;SERVICIO DE EDUCACIÓN DE LA ENSEÑANZA MEDIA;106.85;0;5.9;-;0;0.044;-
EDUCACIÓN;0.10966;SERVICIO DE PRE UNIVERSITARIO;105.18;0;3;-;0;0.003;-
EDUCACIÓN;0.09196;SERVICIO DE ENSEÑANZA EN CENTROS DE FORMACIÓN TÉCNICA;106.95;0;6.5;-;0;0.006;-
EDUCACIÓN;0.76304;SERVICIO DE ENSEÑANZA EN INSTITUTO PROFESIONAL;104.58;0;3.4;-;0;0.026;-
EDUCACIÓN;4.04827;SERVICIO DE ENSEÑANZA UNIVERSITARIA;106;0;5;-;0;0.203;-
EDUCACIÓN;0.10781;SERVICIO DE ENSEÑANZA DE POST GRADO Y POSTÍTULO;109.08;0;7;-;0;0.008;-
EDUCACIÓN;0.10569;CURSOS DE CAPACITACIÓN;111.62;-0.1;12.3;-;0;0.013;-
RESTAURANTES Y HOTELES;0.02877;DESAYUNO CONSUMIDO FUERA DEL HOGAR;108.75;0.8;5.4;-;0;0.002;-
RESTAURANTES Y HOTELES;2.05863;ALMUERZO  Y CENAS CONSUMIDO FUERA DEL HOGAR;108.69;0.6;4.1;-;0.013;0.086;-
RESTAURANTES Y HOTELES;0.07144;ONCE CONSUMIDA FUERA DEL HOGAR;108.5;0.6;4.6;-;0;0.003;-
RESTAURANTES Y HOTELES;0.52042;SANDWICH Y COMPLETO CONSUMIDO FUERA DEL HOGAR;109.47;0.6;5.6;-;0.003;0.03;-
RESTAURANTES Y HOTELES;0.1679;BEBIDA ALCOHÓLICA CONSUMIDA FUERA DEL HOGAR;106.5;0.9;4.2;-;0.001;0.007;-
RESTAURANTES Y HOTELES;0.21428;BEBIDA NO ALCOHÓLICA CONSUMIDA FUERA DEL HOGAR;109.14;1;6.6;-;0.002;0.014;-
RESTAURANTES Y HOTELES;0.07165;HELADOS Y POSTRES CONSUMIDOS FUERA DEL HOGAR;108.16;0.3;2.8;-;0;0.002;-
RESTAURANTES Y HOTELES;0.11422;EMPANADAS PARA LLEVAR;112.91;1.7;7.6;-;0.002;0.009;-
RESTAURANTES Y HOTELES;0.1139;PAPAS FRITAS PARA LLEVAR;110.25;0.3;6;-;0;0.007;-
RESTAURANTES Y HOTELES;0.5921;PLATOS PREPARADOS PARA LLEVAR;110.19;3.3;5.7;-;0.02;0.035;-
RESTAURANTES Y HOTELES;0.42123;SERVICIO DE ALOJAMIENTO TURÍSTICO;104.49;0.3;0.6;-;0.001;0.003;-
BIENES Y SERVICIOS DIVERSOS;0.31079;SERVICIOS DE PELUQUERÍA;106.37;0.2;3.9;-;0.001;0.012;-
BIENES Y SERVICIOS DIVERSOS;0.09569;SERVICIOS  EN CENTROS DE ESTÉTICA;105.67;0.3;3.5;-;0;0.003;-
BIENES Y SERVICIOS DIVERSOS;0.03406;AFEITADORA Y DEPILADORA ELÉCTRICA;100.75;0.6;8.4;-;0;0.003;-
BIENES Y SERVICIOS DIVERSOS;0.06907;MÁQUINA DE AFEITAR DESECHABLE;107.13;-0.2;5.6;-;0;0.004;-
BIENES Y SERVICIOS DIVERSOS;0.04045;ARTÍCULOS DIVERSOS PARA EL CUIDADO PERSONAL;104.1;0;1.3;-;0;0.001;-
BIENES Y SERVICIOS DIVERSOS;0.03152;BLOQUEADORES Y BRONCEADORES;96.41;1.6;-2.3;-;0;-0.001;-
BIENES Y SERVICIOS DIVERSOS;0.23605;COLONIAS Y PERFUMES;101.7;2.4;2.4;-;0.005;0.005;-
BIENES Y SERVICIOS DIVERSOS;0.16724;DESODORANTES Y ANTITRANSPIRANTES;102.28;-5;-1.2;-;-0.009;-0.002;-
BIENES Y SERVICIOS DIVERSOS;0.16213;PRODUCTOS DE HIGIENE BUCAL;108.24;0;4.6;-;0;0.008;-
BIENES Y SERVICIOS DIVERSOS;0.37394;PAPEL HIGIÉNICO;107.98;0.2;5.7;-;0.001;0.021;-
BIENES Y SERVICIOS DIVERSOS;0.09615;JABÓN;101.54;-1.1;-0.6;-;-0.001;-0.001;-
BIENES Y SERVICIOS DIVERSOS;0.36327;PAÑALES DESECHABLES;107.24;0.8;4.5;-;0.003;0.017;-
BIENES Y SERVICIOS DIVERSOS;0.08505;PROTECCIÓN HIGIÉNICA FEMENINA;104.24;-1.7;4.6;-;-0.001;0.004;-
BIENES Y SERVICIOS DIVERSOS;0.24225;SHAMPOO Y BÁLSAMO;101.99;-0.3;1.1;-;-0.001;0.003;-
BIENES Y SERVICIOS DIVERSOS;0.20305;CREMAS PARA LA PIEL;104.47;1.8;3.9;-;0.004;0.008;-
BIENES Y SERVICIOS DIVERSOS;0.1216;PRODUCTOS DE MAQUILLAJE;103.84;0;3.3;-;0;0.004;-
BIENES Y SERVICIOS DIVERSOS;0.14949;TINTURAS Y FIJADORES;101.64;2;-1;-;0.003;-0.002;-
BIENES Y SERVICIOS DIVERSOS;0.16196;JOYAS;104.95;1.3;4.8;-;0.002;0.008;-
BIENES Y SERVICIOS DIVERSOS;0.04785;RELOJ  DE PULSERA;101.71;0.7;1.8;-;0;0.001;-
BIENES Y SERVICIOS DIVERSOS;0.29367;CARTERAS Y BOLSOS;92.71;1.1;-5.3;-;0.003;-0.015;-
BIENES Y SERVICIOS DIVERSOS;0.05334;COCHE PARA BEBÉ;98.24;-0.3;0;-;0;0;-
BIENES Y SERVICIOS DIVERSOS;0.05781;LENTES DE SOL;85.75;0.4;-4.3;-;0;-0.002;-
BIENES Y SERVICIOS DIVERSOS;0.48124;SEGURO DE AUTOMÓVIL;106.93;1.5;12.2;-;0.007;0.055;-
BIENES Y SERVICIOS DIVERSOS;2.42126;GASTO FINANCIERO;102.33;0.1;1.8;-;0.002;0.044;-
BIENES Y SERVICIOS DIVERSOS;0.04235;SERVICIO DE EMISIÓN DE CERTIFICADO;100;0;0;-;0;0;-
BIENES Y SERVICIOS DIVERSOS;0.04891;SERVICIO DE FOTOCOPIADO;104.84;0.9;4.8;-;0;0.002;-
BIENES Y SERVICIOS DIVERSOS;0.09976;MEMBRESÍA EN ASOCIACIÓN PROFESIONAL;102.09;0;2.1;-;0;0.002;-
BIENES Y SERVICIOS DIVERSOS;0.09312;SERVICIO NOTARIAL;104.19;-0.1;2.4;-;0;0.002;-
BIENES Y SERVICIOS DIVERSOS;0.30811;SERVICIO FUNERARIO;116.27;0.8;8.5;-;0.003;0.028;-
BIENES Y SERVICIOS DIVERSOS;0.02915;SERVICIOS DE ASESORAMIENTO JURÍDICO;100.83;-0.4;0.4;-;0;0;-
BIENES Y SERVICIOS DIVERSOS;0.0675;CUOTAS EN CENTROS DE PADRES Y APODERADOS;104.18;0;3.4;-;0;0.002;-
BIENES Y SERVICIOS DIVERSOS;0.07087;SERVICIO DE RESIDENCIAS PARA ADULTOS MAYORES;108.54;0.8;5;-;0.001;0.004;-
BIENES Y SERVICIOS DIVERSOS;0.09879;SERVICIO DE SALA CUNA;107.72;0.1;6.9;-;0;0.007;-
